instrument,ts,side,fcode,r,bars,reason,klass
GBPCHF,2013-03-18 13:00:00+00:00,long,1,-1.043101872133799,11,SL,fx_cross
USDCHF,2013-03-18 13:00:00+00:00,long,1,-1.037198255977498,24,SL,fx_major
YM,2013-03-18 14:00:00+00:00,short,4,-1.0217418867924528,11,SL,indices
CL,2013-03-18 14:00:00+00:00,short,4,-1.0110957303370787,0,SAME_BAR_SL,commodities
NZDCHF,2013-03-19 09:00:00+00:00,long,1,-1.04604046511628,7,SL,fx_cross
EURUSD,2013-03-19 13:00:00+00:00,long,2,-1.0512949272791763,0,SAME_BAR_SL,fx_major
NQ,2013-03-19 14:00:00+00:00,long,2,2.4788704191616766,1,TP,indices
CL,2013-03-19 14:00:00+00:00,long,2,-1.007051374407583,12,SL,commodities
ES,2013-03-19 14:00:00+00:00,long,2,2.478653913043478,5,TP,indices
EURAUD,2013-03-19 17:00:00+00:00,short,4,2.464888620342396,23,TP,fx_cross
NZDCAD,2013-03-19 21:00:00+00:00,long,1,2.471236208991495,58,TP,fx_cross
GBPCAD,2013-03-20 05:00:00+00:00,long,2,2.4491361316872426,2,TP,fx_cross
CADJPY,2013-03-20 09:00:00+00:00,short,4,-1.0477935105407878,0,SAME_BAR_SL,fx_cross
EURJPY,2013-03-20 09:00:00+00:00,short,3,-1.0182474801901744,2,SL,fx_cross
EURUSD,2013-03-20 09:00:00+00:00,short,4,-1.0231051587174989,15,SL,fx_major
GBPJPY,2013-03-20 13:00:00+00:00,short,3,2.4826794366197182,19,TP,fx_cross
USDJPY,2013-03-20 17:00:00+00:00,short,4,2.4689003821656037,6,TP,fx_major
AUDJPY,2013-03-20 17:00:00+00:00,short,4,2.4585828826151577,9,TP,fx_cross
