instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
SCHW,S3,long,RISK_ON,5,2014-08-19 00:00:00+00:00,2014-09-03 00:00:00+00:00,27.857829999999996,28.18,0.6882931093136502,0.003441465546568251,10,EMA_TRAIL,True
REGN,S3,long,RISK_ON,5,2014-08-20 00:00:00+00:00,2014-08-22 00:00:00+00:00,345.6252799999999,340.0743035714285,-1.0,-0.005,2,SL,False
ULTA,S3,long,RISK_ON,5,2014-08-21 00:00:00+00:00,2014-09-09 00:00:00+00:00,96.09599999999999,96.99,0.710824914178539,0.003554124570892695,12,EMA_TRAIL,True
CBOE,S3,long,RISK_ON,5,2014-08-21 00:00:00+00:00,2014-09-25 00:00:00+00:00,51.06100999999999,53.52,2.1977720670179806,0.010988860335089903,24,EMA_TRAIL,True
REGN,S3,long,RISK_ON,5,2014-08-22 00:00:00+00:00,2014-09-12 00:00:00+00:00,341.13079,346.06,1.267916098335823,0.006339580491679116,14,EMA_TRAIL,True
DRI,S3,long,RISK_ON,5,2014-08-25 00:00:00+00:00,2014-08-28 00:00:00+00:00,47.59754999999999,47.034217857142856,-1.0,-0.005,3,SL,False
AMD,S3,long,RISK_ON,5,2014-08-25 00:00:00+00:00,2014-08-28 00:00:00+00:00,4.18418,4.129474999999999,-1.0,-0.005,3,SL,False
MPC,S3,long,RISK_ON,5,2014-08-27 00:00:00+00:00,2014-09-02 00:00:00+00:00,45.140094999999995,44.25776785714286,-1.0,-0.005,3,SL,False
DRI,S3,long,RISK_ON,5,2014-08-28 00:00:00+00:00,2014-10-07 00:00:00+00:00,47.19714999999999,50.07,3.886889100654685,0.019434445503273425,27,EMA_TRAIL,True
HII,S3,long,RISK_ON,5,2014-08-28 00:00:00+00:00,2014-09-04 00:00:00+00:00,102.18207999999998,102.18207999999998,0.8320832122054276,0.004160416061027138,4,STOP_AFTER_TP1,True
TPR,S3,long,RISK_ON,5,2014-08-28 00:00:00+00:00,2014-09-09 00:00:00+00:00,36.816779999999994,36.816779999999994,0.28650736065014193,0.0014325368032507097,7,STOP_AFTER_TP1,True
FBHS,S3,long,RISK_ON,5,2014-08-28 00:00:00+00:00,2014-09-12 00:00:00+00:00,43.08304,43.08304,0.2705620767994937,0.0013528103839974685,10,STOP_AFTER_TP1,True
ESRX,S3,long,RISK_ON,5,2014-08-28 00:00:00+00:00,2014-09-02 00:00:00+00:00,73.89381999999999,73.27160714285715,-1.0,-0.005,2,SL,False
