instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
TXN,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-04-05 00:00:00+00:00,77.93785999999999,80.08,1.9953845664322867,0.009976922832161434,23,EMA_TRAIL,True
XRAY,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-07 00:00:00+00:00,63.423359999999995,62.273075,-1.0,-0.005,2,SL,False
PPG,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-06 00:00:00+00:00,102.16206,101.12735714285715,-1.0,-0.005,1,SL,False
CNC,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-06 00:00:00+00:00,71.04096999999999,69.918575,-1.0,-0.005,1,SL,False
NOC,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-16 00:00:00+00:00,243.17292999999998,240.69464642857142,-1.0,-0.005,9,SL,False
AOS,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-09 00:00:00+00:00,50.23018,49.439685714285716,-1.0,-0.005,4,SL,False
NKE,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-07 00:00:00+00:00,56.756699999999995,56.059421428571426,-1.0,-0.005,2,SL,False
MA,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-14 00:00:00+00:00,111.47135999999999,110.36767857142857,-1.0,-0.005,6,SL,False
CNC,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-10 00:00:00+00:00,71.04096999999999,69.06643214285715,-1.0,-0.005,4,SL,False
MAA,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-09 00:00:00+00:00,100.84073999999998,99.4426,-1.0,-0.005,3,SL,False
WY,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-09 00:00:00+00:00,33.753719999999994,33.192499999999995,-1.0,-0.005,3,SL,False
NOV,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-08 00:00:00+00:00,39.90986999999999,38.93646428571429,-1.0,-0.005,2,SL,False
RTN,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-21 00:00:00+00:00,153.47331999999997,153.47331999999997,0.7031432281128982,0.003515716140564491,11,STOP_AFTER_TP1,True
TWX,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-21 00:00:00+00:00,98.18808999999999,97.59809642857142,-1.0,-0.005,11,SL,False
LEG,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-08 00:00:00+00:00,49.079029999999996,48.62251071428571,-1.0,-0.005,2,SL,False
BK,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-20 00:00:00+00:00,47.94789999999999,47.210928571428575,-1.0,-0.005,10,SL,False
NDAQ,S3,long,RISK_ON,3,2017-03-06 00:00:00+00:00,2017-03-21 00:00:00+00:00,71.43136,70.21209642857143,-1.0,-0.005,11,SL,False
FBHS,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-05-11 00:00:00+00:00,57.97792,63.07,6.095890400435732,0.030479452002178664,46,EMA_TRAIL,True
CAH,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-21 00:00:00+00:00,81.29120999999998,81.29120999999998,0.5146756301711244,0.002573378150855622,10,STOP_AFTER_TP1,True
UTX,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-09 00:00:00+00:00,112.39227999999999,111.00275,-1.0,-0.005,2,SL,False
SLG,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-09 00:00:00+00:00,112.23212,110.40446785714286,-1.0,-0.005,2,SL,False
WAT,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-24 00:00:00+00:00,153.51336,154.76,0.8795201189143897,0.004397600594571949,13,EMA_TRAIL,True
NKE,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-22 00:00:00+00:00,56.60654999999999,56.60654999999999,0.5844532843455589,0.0029222664217277944,11,STOP_AFTER_TP1,True
NFLX,S3,long,RISK_ON,3,2017-03-07 00:00:00+00:00,2017-03-21 00:00:00+00:00,141.57143,142.42,0.8992424833487789,0.004496212416743895,10,EMA_TRAIL,True
